Name,Structure,Area,Station,Flow,Orientation,Price,Price_sqm,Build_time
南杨花园,2室1厅,82.1,浦东,低区/6层,朝南,475,57856,1997.0
雍江星座香园,2室1厅,92.91,浦东,中区/6层,朝南北,720,77494,2002.0
新里城和合苑,2室1厅,69.57,浦东,高区/6层,朝南,470,67557,1999.0
天虹苑,3室2厅,130.43,浦东,低区/12层,朝南北,880,67469,2003.0
潼港八村,2室1厅,70.94,浦东,高区/6层,朝南,300,42289,1994.0
三林世博家园（大道站路94弄）,3室2厅,115.78,浦东,高区/6层,朝南北,560,48367,2006.0
翰锦苑,2室2厅,100.17,浦东,低区/13层,朝南北,650,64889,2003.0
大华锦绣华城（一街区）,4室2厅,73.58,浦东,高区/6层,朝南北,680,92416,2008.0
羽山路1000弄,2室1厅,67.04,浦东,低区/6层,朝南北,570,85023,1997.0
凌兆新村（上浦路165弄）,1室1厅,51.66,浦东,高区/6层,朝南,280,54200,1995.0
品新苑,3室2厅,111.43,浦东,低区/18层,朝南,570,51153,2000.0
万馨佳园,3室2厅,98.71,浦东,低区/6层,朝南北,465,47107,2005.0
樱花坊,2室1厅,77.49,浦东,高区/6层,朝南北,645,83236,1995.0
文化馨苑,3室2厅,122.44,浦东,中区/6层,朝南,760,62071,2004.0
云台一小区,2室1厅,59.23,浦东,高区/6层,朝南,358,60442,1994.0
香山新村西北街坊,2室1厅,67.29,浦东,高区/6层,朝南,385,57215,1996.0
潍坊七村,2室0厅,46.36,浦东,低区/6层,朝南北,390,84124,1983.0
金桥新家园,2室2厅,79.88,浦东,低区/20层,朝西南,500,62593,2005.0
毕加索小镇（一期）（公寓）,2室2厅,166.6,浦东,低区/8层,朝南北,600,36014,2010.0
金桥都市花园,2室2厅,106.19,浦东,低区/11层,朝南北,630,59327,2000.0
浦三小区,2室1厅,67.26,浦东,低区/6层,朝南,325,48319,1997.0
宏莲馨苑,2室2厅,93.1,浦东,中区/6层,朝南,610,65520,2003.0
东陆新村九街坊,2室1厅,67.63,浦东,中区/6层,朝南北,360,53230,1996.0
东陆新村六街坊,3室1厅,82.79,浦东,高区/6层,朝南,380,45899,1995.0
罗山四村,2室1厅,60.13,浦东,高区/6层,朝南北,330,54881,1990.0
新里城和合苑,3室2厅,113.78,浦东,高区/5层,朝南北,760,66795,1999.0
沪东新村,1室1厅,36.31,浦东,中区/5层,朝南,175,48196,1953.0
海东公寓,2室2厅,79.87,浦东,高区/6层,朝南,445,55715,1997.0
寿光路161弄,1室1厅,43.93,浦东,低区/6层,朝东南,230,52356,1994.0
金杨七街坊,1室1厅,47.27,浦东,高区/6层,朝南,240,50772,nan
巨峰家苑（公寓）,1室1厅,56.02,浦东,高区/6层,朝南,345,61585,2005.0
金桥新村四街坊（长岛路1203弄）,2室1厅,72.28,浦东,中区/6层,朝南北,450,62257,1997.0
上浦小区,2室2厅,91.7,浦东,中区/6层,朝南北,322,35114,1993.0
都林嘉苑（南苑）（杨南路1168弄）,2室2厅,89.21,浦东,中区/5层,,560,62773,2002.0
翰锦苑,2室2厅,97.52,浦东,低区/13层,朝南北,630,64602,2003.0
双桥小区,2室1厅,75.97,浦东,高区/6层,朝南北,465,61208,1997.0
恒大华城上河苑,3室2厅,107.48,浦东,中区/6层,朝南,730,67919,2001.0
明丰花园,5室2厅,125.78,浦东,低区/6层,朝南北,770,61217,2003.0
香山新村东北街坊,2室1厅,60.91,浦东,低区/6层,朝南北,370,60745,1995.0
浦东世纪花园（公寓）,3室2厅,181.7,浦东,低区/21层,朝南北,1560,85855,2002.0
住友名人花园,2室2厅,106.14,浦东,中区/18层,朝南北,750,70661,2002.0
东源名都,2室2厅,103.87,浦东,低区/18层,朝南,540,51988,2009.0
品华苑,2室1厅,76.06,浦东,中区/6层,朝南,420,55219,1999.0
万邦都市花园,3室2厅,112.84,浦东,低区/18层,朝南,936,82949,nan
杉林新月（环林东路799弄）,2室1厅,77.58,浦东,低区/16层,朝,410,52848,2004.0
东旺名苑,4室3厅,76.8,浦东,高区/6层,朝南,650,84635,2010.0
东方知音苑,2室2厅,87.62,浦东,中区/11层,朝南北,700,79890,2003.0
金藤苑,2室1厅,63.5,浦东,低区/6层,朝南北,340,53543,1998.0
大唐盛世花园,3室2厅,139.88,浦东,低区/11层,朝南北,1250,89362,2008.0
明丰花园,3室2厅,126.29,浦东,低区/11层,朝南北,720,57011,2003.0
东南新村（浦东）,1室1厅,34.91,浦东,高区/5层,朝南,298,85362,nan
名嘉新苑,3室2厅,125.57,浦东,中区/18层,朝南北,775,61718,2007.0
东方知音苑,4室2厅,137.53,浦东,中区/5层,朝南北,1120,81436,2002.0
大华锦绣华城（十二街区）,3室2厅,102.07,浦东,高区/6层,朝南,820,80337,2003.0
东城新村,3室1厅,78.48,浦东,高区/7层,朝南,600,76452,2000.0
浦东南路4800弄,1室1厅,43.25,浦东,低区/7层,朝南,280,64739,1987.0
上南十村,3室1厅,74.72,浦东,低区/6层,朝南北,460,61563,1992.0
汇豪天下,2室2厅,88.93,浦东,低区/35层,朝南,980,110199,nan
万科金色雅筑,3室2厅,89.7,浦东,中区/11层,朝南北,650,72463,2008.0
巨峰家苑（公寓）,2室2厅,99.08,浦东,低区/7层,朝南北,620,62575,2005.0
长岛公寓,3室1厅,99.81,浦东,中区/24层,朝东南,440,44083,2000.0
中环滨江大厦,2室2厅,89.31,浦东,高区/14层,朝南,560,62702,2008.0
晓园,2室2厅,150.6,浦东,低区/9层,朝西南,1310,86985,nan
金桥新村四街坊（长岛路1201弄）,3室1厅,85.01,浦东,高区/6层,朝南,510,59992,1997.0
展想悦廷,1室1厅,52.98,浦东,中区/16层,朝西,170,32087,2007.0
八方大厦,2室1厅,113.01,浦东,中区/26层,朝南,650,57517,1998.0
金宝公寓,2室2厅,91.0,浦东,低区/5层,朝南北,350,38461,2004.0
新领地,1室1厅,62.03,浦东,中区/29层,,315,50781,2002.0
南杨花园,2室1厅,60.3,浦东,高区/6层,朝南,385,63847,1996.0
东陆新村八街坊,1室1厅,54.18,浦东,高区/6层,朝南,297,54817,1996.0
百富达公寓,4室2厅,149.25,浦东,中区/6层,朝南北,799,53534,1997.0
张杨路370弄,1室0厅,30.48,浦东,高区/6层,朝南,265,86942,1985.0
临沂八村,2室1厅,55.59,浦东,中区/6层,朝西南,325,58463,1989.0
三林安居苑,2室1厅,64.02,浦东,中区/6层,朝南北,359,56076,1998.0
金谊河畔,2室2厅,107.18,浦东,低区/16层,朝南北,710,66243,2009.0
绿洲康城亲水湾,1室2厅,67.91,浦东,低区/14层,朝南,360,53011,2010.0
华高二村,3室1厅,86.01,浦东,中区/6层,朝南,430,49994,1998.0
荷三小区,2室1厅,67.39,浦东,高区/6层,朝南,328,48671,1995.0
三林世博家园（大道站路94弄）,1室1厅,56.71,浦东,高区/6层,朝南北,325,57309,2006.0
民康苑,3室2厅,106.52,浦东,高区/17层,朝南北,580,54449,2008.0
牡丹路186弄,3室1厅,91.32,浦东,低区/6层,朝南北,650,71178,1995.0
凌兆新村（上浦路201弄）,2室2厅,49.04,浦东,低区/6层,朝,295,60154,nan
昌七小区,2室1厅,61.0,浦东,高区/6层,朝南,345,56557,1996.0
港机新村,1室0厅,35.78,浦东,高区/6层,朝,210,58692,1987.0
昌里花园,2室2厅,86.0,浦东,高区/13层,朝南,585,68023,1998.0
南杨小区（长清路）,2室1厅,68.47,浦东,低区/6层,,370,54038,1995.0
荷三小区,2室1厅,55.72,浦东,低区/6层,朝南,298,53481,1997.0
张江汤臣豪园（二期）,3室2厅,134.65,浦东,中区/16层,朝南北,1030,76494,nan
华高一村,2室1厅,81.06,浦东,高区/6层,朝南,360,44411,1997.0
云台二小区,2室1厅,72.55,浦东,低区/24层,朝东南,429,59131,1995.0
金桥湾清水苑,3室2厅,116.51,浦东,中区/6层,朝南北,630,54072,1998.0
碧云新天地（一期）,2室2厅,80.01,浦东,高区/6层,朝南北,570,71241,2002.0
爱法新城,2室2厅,94.61,浦东,高区/6层,朝南北,570,60247,2002.0
中芯花园（公寓）,2室2厅,89.68,浦东,中区/6层,,560,62444,2005.0
潍坊一村,2室0厅,47.68,浦东,高区/6层,,318,66694,1985.0
由由一村,1室1厅,41.37,浦东,低区/5层,朝南,250,60430,1997.0
金桥新村四街坊（博兴路986弄）,2室1厅,57.79,浦东,中区/6层,朝南,340,58833,1997.0
金杨新村五街坊,3室2厅,74.34,浦东,高区/6层,朝南,395,53134,1994.0
联洋花园（二期）,3室2厅,169.62,浦东,低区/18层,朝南,1250,73694,nan
连城新苑,2室2厅,95.85,浦东,中区/11层,朝南北,540,56338,2006.0
建业新村,2室1厅,73.99,浦东,中区/6层,朝南,450,60819,1997.0
大唐盛世花园,3室2厅,143.54,浦东,中区/17层,朝南北,1400,97533,2003.0
金浦小区（塘桥）,1室1厅,41.03,浦东,高区/6层,朝南,278,67755,1994.0
瑞达苑,3室2厅,105.0,浦东,中区/5层,朝南北,795,75714,1999.0
上南翡翠苑,3室2厅,106.32,浦东,低区/6层,朝南北,750,70541,2006.0
上南二村,2室1厅,69.36,浦东,高区/6层,朝南,430,61995,1981.0
博一小区,1室1厅,48.78,浦东,高区/6层,朝南,245,50225,1995.0
塘南小区,3室1厅,46.76,浦东,高区/5层,朝南,330,70573,1978.0
荷五小区,2室1厅,68.66,浦东,高区/6层,朝南,360,52432,1995.0
莲杨苑,2室1厅,84.3,浦东,低区/6层,朝南北,540,64056,2005.0
潼港六村,3室1厅,73.85,浦东,高区/6层,朝南北,310,41976,1993.0
明纶园,2室2厅,83.46,浦东,低区/6层,朝南北,370,44332,2003.0
周康四村,1室1厅,56.01,浦东,中区/5层,朝南北,280,49991,2001.0
潍坊二村,1室1厅,45.43,浦东,低区/6层,朝南,325,71538,1982.0
星云小区,2室1厅,78.88,浦东,高区/6层,朝南,560,70993,1995.0
云锦丽苑,2室2厅,84.45,浦东,低区/6层,朝南,155,18354,2006.0
绿地东上海,2室2厅,114.47,浦东,低区/18层,朝南北,680,59404,2010.0
海尚乐苑,2室2厅,78.34,浦东,低区/14层,朝南,330,42124,2010.0
联丰苑,3室1厅,115.75,浦东,低区/6层,朝南北,650,56155,1999.0
京浦小区,2室1厅,52.59,浦东,中区/6层,朝南北,335,63700,1995.0
绿地御桥苑,2室1厅,67.47,浦东,高区/6层,,410,60767,2003.0
天安花园,3室2厅,137.38,浦东,低区/20层,朝南,1180,85893,nan
博一小区,2室2厅,80.44,浦东,中区/6层,朝南北,430,53455,1995.0
大华锦绣华城（一街区）,3室2厅,102.17,浦东,高区/18层,朝南北,775,75853,2008.0
东一小区,1室1厅,46.85,浦东,中区/6层,朝南,260,55496,1997.0
万邦都市花园,1室1厅,52.31,浦东,低区/11层,朝南,500,95584,nan
世茂滨江花园,4室2厅,277.97,浦东,中区/60层,,2400,86340,nan
德州大楼,2室1厅,81.19,浦东,高区/25层,,460,56657,1991.0
学北路20弄,3室2厅,107.86,浦东,低区/6层,朝南北,370,34303,1997.0
上南五村,2室1厅,51.8,浦东,高区/6层,朝南北,310,59845,1993.0
